,icao_designator,verified,location,elevation,name,magnetic_variation
0,EGPD,1,+571209.00-0021153.00,210,ABERDEEN/DYCE,-0.91
1,EGJA,1,+494224.00-0021252.00,220,ALDERNEY,-0.01
2,EGSL,1,+515342.00+0002657.00,249,ANDREWSFIELD,+0.69
3,EGPR,1,+570125.00-0072630.00,291,BARRA,-3.11
4,EGNL,1,+540743.00-0031603.00,234,BARROW/WALNEY ISLAND,-0.90
5,EGBF,1,+521357.00-0002644.00,255,BEDFORD,+0.35
6,EGAA,1,+543927.00-0061257.00,276,BELFAST ALDERGROVE,-2.15
7,EGAC,1,+543705.00-0055221.00,281,BELFAST/CITY,-2.00
8,EGPL,1,+572850.00-0072150.00,278,BENBECULA,-3.17
9,EGKB,1,+511951.00+0000157.00,236,BIGGIN HILL,+0.59
10,EGBB,1,+522714.00-0014453.00,317,BIRMINGHAM,-0.13
11,EGLK,1,+511926.00-0005051.00,316,BLACKBUSHE,+0.30
12,EGNH,1,+534618.00-0030143.00,266,BLACKPOOL,-0.76
13,EGHH,1,+504648.00-0015033.00,250,BOURNEMOUTH,+0.01
14,EGGD,1,+512258.00-0024309.00,247,BRISTOL,-0.36
15,EGCK,1,+530607.00-0042015.00,214,CAERNARFON,-1.17
16,EGSC,1,+521218.00+0001030.00,306,CAMBRIDGE,+0.57
17,EGEC,1,+552615.00-0054117.00,218,CAMPBELTOWN,-2.07
18,EGFF,1,+512348.00-0032036.00,191,CARDIFF,-0.58
19,EGNC,1,+545615.00-0024832.00,233,CARLISLE,-0.84
20,EGLJ,1,+514028.00-0010507.00,270,CHALGROVE,+0.18
21,EGHR,1,+505134.00-0004533.00,200,CHICHESTER/GOODWOOD,+0.37
22,EGHA,1,+505802.00-0020913.00,242,COMPTON ABBAS,-0.12
23,EGBE,1,+522211.00-0012847.00,301,COVENTRY,-0.03
24,EGTC,1,+520420.00-0003700.00,315,CRANFIELD,+0.31
25,EGPG,1,+555829.00-0035832.00,300,CUMBERNAULD,-1.46
26,EGLD,1,+513518.00-0003047.00,213,DENHAM,+0.39
27,EGBD,1,+525135.00-0013703.00,251,DERBY,-0.13
28,EGCN,1,+532831.00-0010015.00,227,DONCASTER SHEFFIELD,+0.02
29,EGPN,1,+562709.00-0030133.00,293,DUNDEE,-1.14
30,EGTU,1,+505136.00-0031405.00,294,DUNKESWELL,-0.48
31,EGSU,1,+520526.00+0000753.00,196,DUXFORD,+0.56
32,EGSR,1,+515452.00+0004057.00,305,EARLS COLNE,+0.76
33,EGNX,1,+524952.00-0011940.00,290,EAST MIDLANDS,-0.02
34,EGPH,1,+555700.00-0032221.00,267,EDINBURGH,-1.21
35,EGTR,1,+513921.00-0001933.00,280,ELSTREE,+0.44
36,EGAB,1,+542355.00-0073907.00,195,ENNISKILLEN/ST ANGELO,-2.69
37,EGTE,1,+504403.00-0032450.00,192,EXETER,-0.53
38,EGEF,1,+593205.00-0013743.00,258,FAIR ISLE,-0.98
39,EGTF,1,+512053.00-0003331.00,243,FAIROAKS,+0.39
40,EGLF,1,+511631.00-0004639.00,215,FARNBOROUGH,+0.33
41,EGCL,1,+524422.00-0000148.00,221,FENLAND,+0.45
42,EGBJ,1,+515339.00-0021002.00,299,GLOUCESTERSHIRE,-0.22
43,EGJB,1,+492606.00-0023610.00,238,GUERNSEY,-0.11
44,EGNR,1,+531041.00-0025840.00,216,HAWARDEN,-0.67
45,EGNJ,1,+533424.00-0002105.00,275,HUMBERSIDE,+0.25
46,EGPE,1,+573233.00-0040251.00,286,INVERNESS,-1.74
47,EGPI,1,+554100.00-0061535.00,272,ISLAY,-2.35
48,EGNS,1,+540500.00-0043724.00,199,ISLE OF MAN,-1.42
49,EGJJ,1,+491229.00-0021144.00,205,JERSEY,+0.04
50,EGBP,1,+514005.00-0020325.00,194,KEMBLE,-0.16
51,EGPA,1,+585729.00-0025402.00,298,KIRKWALL,-1.46
52,EGHC,1,+500610.00-0054014.00,313,LANDS END,-1.25
53,EGKH,1,+510923.00+0003840.00,263,LASHENDEN/HEADCORN,+0.81
54,EGNM,1,+535158.00-0013939.00,203,LEEDS BRADFORD,-0.26
55,EGBG,1,+523628.00-0010155.00,226,LEICESTER,+0.11
56,EGET,1,+601131.00-0011437.00,257,LERWICK/TINGWALL,-0.89
57,EGGP,1,+532001.00-0025059.00,237,LIVERPOOL,-0.64
58,EGLC,1,+513019.00+0000319.00,231,LONDON CITY,+0.59
59,EGKK,1,+510853.00-0001125.00,283,LONDON GATWICK,+0.53
60,EGLL,1,+512839.00-0002741.00,318,LONDON HEATHROW,+0.41
61,EGGW,1,+515229.00-0002206.00,284,LONDON LUTON,+0.41
62,EGSS,1,+515306.00+0001406.00,271,LONDON STANSTED,+0.61
63,EGAE,1,+550234.00-0070943.00,274,LONDONDERRY/EGLINTON,-2.60
64,EGMD,1,+505722.00+0005620.00,201,LYDD,+0.92
65,EGCC,1,+532114.00-0021630.00,277,MANCHESTER,-0.43
66,EGCB,1,+532818.00-0022323.00,217,MANCHESTER BARTON,-0.49
67,EGNF,1,+531901.00-0011146.00,204,NETHERTHORPE,-0.03
68,EGNT,1,+550217.00-0014123.00,202,NEWCASTLE,-0.42
69,EGHQ,1,+502627.00-0045943.00,288,NEWQUAY,-1.05
70,EGAD,1,+543452.00-0054131.00,206,NEWTOWNARDS,-1.93
71,EGBK,1,+521822.00-0004732.00,198,NORTHAMPTON/SYWELL,+0.22
72,EGSH,1,+524033.00+0011658.00,319,NORWICH,+0.91
73,EGBN,1,+525512.00-0010445.00,229,NOTTINGHAM,+0.06
74,EGEO,1,+562749.00-0052400.00,269,OBAN,-2.13
75,EGTK,1,+515013.00-0011912.00,296,OXFORD,+0.08
76,EGPT,1,+562628.00-0032226.00,307,PERTH/SCONE,-1.28
77,EGSF,1,+522805.00-0001503.00,223,PETERBOROUGH/CONINGTON,+0.39
78,EGPK,1,+553034.00-0043540.00,273,PRESTWICK,-1.64
79,EGKR,1,+511249.00-0000819.00,311,REDHILL,+0.55
80,EGNE,1,+531650.00-0005705.00,224,RETFORD/GAMSTON,+0.06
81,EGTO,1,+512107.00+0003010.00,193,ROCHESTER,+0.75
82,EGCF,1,+533335.00-0005130.00,261,SANDTOFT,+0.07
83,EGHE,1,+495448.00-0061730.00,207,SCILLY ISLES/ST MARY'S,-1.45
84,EGCJ,1,+534703.00-0011304.00,190,SHERBURN-IN-ELMET,-0.09
85,EGBS,1,+521430.00-0025252.00,212,SHOBDON,-0.52
86,EGKA,1,+505008.00-0001750.00,262,SHOREHAM,+0.53
