,icao_designator,runway,location,elevation,bearing,length
0,EGPD,05,+571214.80-0021205.88,164,046.00,476
1,EGPD,23,+571225.38-0021145.38,164,226.00,476
2,EGJA,03,+494215.37-0021252.38,158,025.90,497
3,EGJA,21,+494229.84-0021241.55,158,205.91,497
4,EGJA,08,+494221.58-0021314.97,158,079.45,877
5,EGJA,26,+494226.78-0021231.92,158,259.46,877
6,EGJA,13,+494232.20-0021316.82,158,133.28,733
7,EGJA,31,+494215.93-0021250.17,158,313.29,733
8,EGPR,07,+570129.01-0072648.43,190,066.06,799
9,EGPR,25,+570139.48-0072605.17,190,246.07,799
10,EGPR,11,+570128.67-0072654.00,190,100.68,680
11,EGPR,29,+570125.30-0072621.24,190,280.69,680
12,EGPR,15,+570131.18-0072649.38,190,139.48,846
13,EGPR,33,+570113.32-0072621.39,190,319.48,846
14,EGNL,05,+540759.25-0031609.47,173,166.10,1011
15,EGNL,23,+540727.50-0031556.09,173,346.10,1011
16,EGBF,08,+521354.75-0002709.18,154,080.67,1095
17,EGBF,26,+521359.85-0002618.61,154,260.68,1095
18,EGAA,07,+543908.12-0061406.87,185,065.07,2780
19,EGAA,25,+543945.99-0061146.24,185,245.10,2780
20,EGAA,17,+543928.52-0061343.04,185,161.95,1891
21,EGAA,35,+543833.19-0061311.96,185,341.96,1891
22,EGAC,04,+543643.34-0055247.14,184,034.76,1829
23,EGAC,22,+543729.48-0055151.95,184,214.77,1829
24,EGPL,06,+572837.28-0072225.09,189,055.45,1836
25,EGPL,24,+572908.72-0072100.27,189,235.47,1836
26,EGPL,17,+572913.01-0072156.78,189,167.01,1220
27,EGPL,35,+572834.99-0072140.50,189,347.01,1220
28,EGKB,03,+511932.44+0000142.18,149,025.70,1806
29,EGKB,21,+512017.72+0000216.98,149,205.71,1806
30,EGBB,15,+522748.52-0014531.43,162,145.81,3052
31,EGBB,33,+522646.58-0014422.56,162,325.82,3052
32,EGLK,07,+511921.17-0005116.68,151,071.58,1335
33,EGLK,25,+511931.40-0005027.64,151,251.59,1335
34,EGNH,10,+534620.06-0030233.67,172,094.64,1869
35,EGNH,28,+534615.16-0030051.98,172,274.66,1869
36,EGNH,13,+534625.36-0030231.08,172,127.31,998
37,EGNH,31,+534608.74-0030154.27,172,307.32,998
38,EGHH,08,+504642.48-0015107.76,156,075.30,2271
39,EGHH,26,+504657.58-0014936.88,156,255.32,2271
40,EGGD,09,+512255.59-0024400.61,164,086.44,2011
41,EGGD,27,+512259.37-0024223.50,164,266.45,2011
42,EGCK,07,+530603.04-0042032.21,179,070.83,932
43,EGCK,25,+530610.07-0041958.61,179,250.83,932
44,EGSC,05,+521202.12+0000959.26,151,049.87,1965
45,EGSC,23,+521235.55+0001103.83,151,229.89,1965
46,EGEC,11,+552616.99-0054126.75,182,106.07,1750
47,EGEC,29,+552604.35-0054009.60,182,286.08,1750
48,EGFF,12,+512401.72-0032120.17,169,116.76,2354
49,EGFF,30,+512332.83-0031948.64,169,296.78,2354
50,EGNC,01,+545607.66-0024840.80,172,001.12,885
51,EGNC,19,+545632.12-0024839.97,172,181.12,885
52,EGNC,06,+545603.17-0024907.03,172,059.43,1829
53,EGNC,24,+545625.95-0024800.03,172,239.44,1829
54,EGLJ,12,+514044.53-0010545.69,154,124.03,1830
55,EGLJ,30,+514011.95-0010428.11,154,304.05,1830
