,sectorline,coords
0,EGGX,+603000.000-0100000.000/+591114.570-0161433.442/+570000.000-0100008.000
1,BIRD,+603000.000-0100000.000/+623950.829-0072559.470/+610000.000-0000000.000
2,EBBU_Low,+510700.000+0020000.000/+510500.000+0023300.000/+510454.000+0040934.000/+512224.000+0032150.000/+512960.000+0020000.000
3,EBBU,+505958.717+0020154.478/+504131.000+0024959.000/+503054.000+0032141.000/+512224.000+0032150.000/+512850.170+0031018.610/+513812.590+0023000.000/+512720.000+0023000.000/+513000.000+0020000.000
4,EHAA,+550000.000+0050000.000/+523224.000+0045112.000/+512300.000+0020000.000
5,EDYY_D-J,+540620.000+0041048.000/+531913.000+0044348.000/+525827.000+0050818.000
6,EDYY_J,+525827.000+0050818.000/+550000.000+0063000.000/+543000.000+0043209.000
7,EDYY_D,+525827.000+0050818.000/+512850.170+0031018.610
8,LFRR_LFFF,+500000.000-0001500.000/+491000.000-0001500.000
9,LFFF-N,+491000.000-0001500.000/+495809.330+0030419.503
10,LFEE-N,+483500.000+0030100.000/+495809.330+0030419.503
11,LFRR-N,+485000.000-0080000.000/+491000.000-0001500.000
12,LFRR-E,+491000.000-0001500.000/+483500.000+0030100.000
13,LFFF_EBBU,+495809.330+0030419.503/+510700.000+0016000.000
14,LFRR_LFEE,+495519.000+0012412.000/+483500.000+0030100.000
15,EKDK,+570000.000+0050000.000/+570000.000+0060000.000/+570000.000+0073000.000/+560518.000+0080440.000/+554102.000+0070604.000/+550000.000+0063000.000/+550000.000+0050000.000
16,ENSV_N,+610000.000-0000000.000/+585348.000+0044010.000
17,ENSV,+585348.000+0044010.000/+572016.312+0042923.315
18,ENSV Split,+585348.000+0044010.000/+584058.000+0032613.000/+583100.000+0023600.000
19,DW_NORTH,+532845.290-0072000.000/+534509.000-0072000.000/+540943.000-0064538.420/+535500.000-0053000.000/+532353.000-0053000.000/+532845.290-0072000.000
20,DW_SOUTH,+532845.290-0072000.000/+530527.000-0072000.000/+523650.220-0063701.298/+522000.000-0053000.000/+532353.000-0053000.000/+532845.290-0072000.000
21,SN_EAST,+544403.089-0113652.210/+544110.246-0100000.000/+543858.052-0093320.034/+542500.005-0081000.013/+535459.791-0052959.594/+524624.190-0052958.902/+530807.644-0075210.477/+524107.927-0081749.716/+530314.109-0094018.883/+531649.505-0113624.679/+544403.089-0113652.210
22,SN_BANBA,+531649.505-0113624.679/+530314.109-0094018.883/+524107.927-0081749.716/+530807.644-0075210.477/+524624.190-0052958.902/+521959.988-0053000.003/+520049.000-0060720.000/+514034.000-0060027.000/+512400.000-0065305.000/+512528.000-0071351.000/+511105.554-0074002.358/+511609.245-0081759.558/+511620.127-0085115.480/+511612.997-0105838.163/+524703.653-0113610.251/+531649.505-0113624.679
23,SN_SOUTH,+511612.997-0105838.163/+511609.245-0081759.558/+511105.554-0074002.358/+510000.000-0080000.000/+493323.000-0065617.000/+4092841.000-0045513.000/+485542.000-0073430.000/+485000.000-0080000.000/+483142.713-0075945.276/+485319.858-0123712.725/+501457.476-0105718.182/+511612.997-0105838.163
24,SN_OSCAR,+511629.798-0145957.272/+511612.997-0105838.163/+501457.476-0105718.182/+485319.858-0123712.725/+490000.000-0150000.000/+511629.798-0145957.272
25,SN_WEST,+551343.959-0145957.080/+544403.089-0113652.210/+524703.653-0113610.251/+511612.997-0105838.163/+511629.798-0145957.272/+551343.959-0145957.080
26,SN_NORTH,+570000.000-0150000.000/+570000.000-0100000.000/+544110.246-0100000.000/+544403.089-0113652.210/+551343.959-0145957.080/+570000.000-0150000.000
27,SN_LOW_SOUTH,+533000.000-0140000.000/+532845.290-0072000.000/+530527.000-0072000.000/+523650.220-0063700.000/+522000.000-0053000.000/+510000.000-0080000.000/+510000.000-0140000.000/+533000.000-0140000.000
28,SN_LOW_NORTH,+543000.000-0140000.000/+543419.000-0095957.997/+544459.020-0090000.000/+552000.000-0081500.000/+552500.000-0072000.021/+552000.000-0065500.000/+542520.360-0081039.412/+540940.000-0064542.471/+534508.000-0072000.000/+532845.290-0072000.000/+533000.000-0140000.000/+543000.000-0140000.000
29,LW1,+493459.000-0080000.000/+493323.000-0065617.000
30,LW2,+505960.000-0080000.000/+493459.000-0080000.000
31,LW3,+505960.000-0080000.000/+512528.000-0071351.000
32,LW4,+514034.000-0060027.000/+512921.000-0041210.000
33,LW5,+512921.000-0041210.000/+511719.000-0034740.000/+493718.000-0040941.000
34,LW6,+492841.000-0045459.000/+493718.000-0040941.000
35,LW7,+493718.000-0040941.000/+495457.000-0023012.000
36,LW8,+512905.000-0034542.000/+511526.000-0020000.000
37,LW9,+512921.000-0041210.000/+512905.000-0034542.000
38,LW10,+520522.000-0035849.000/+512905.000-0034542.000
39,LW11,+520522.000-0035849.000/+515739.683-0031914.667/+515640.000-0024718.000/+520526.000-0023050.000/+521702.000-0021251.000
40,LW12,+525705.000-0053000.000/+520522.000-0035849.000
41,LW13,+531148.000-0052960.000/+525705.000-0053000.000
42,LW14,+525705.000-0053000.000/+522000.000-0053000.000/+520049.000-0060720.000
43,LW15,+493323.000-0065617.000/+492841.000-0045459.000
44,LW16,+485542.000-0073430.000/+492841.000-0045459.000
45,LW17,+485000.000-0080000.000/+485542.000-0073430.000
46,LW18,+525705.000-0053000.000/+521960.000-0053000.000
47,LWS1,+495457.000-0023012.000/+501745.000-0022725.000/+503712.000-0021731.000/+503947.000-0023109.000/+504459.000-0023107.000/+504947.000-0023317.000/+505543.000-0020000.000/+511526.000-0020000.000
48,LWS2,+511526.000-0020000.000/+511238.000-0013600.000/+511306.000-0013031.000
49,LWS3,+511526.000-0020000.000/+514126.000-0020000.000/+514751.000-0014136.000
50,LWN1,+531148.000-0053000.000/+531112.000-0050859.000
51,LWN2,+531112.000-0050859.000/+525542.000-0041447.000/+525433.000-0032659.000
52,LWN3,+525433.000-0032659.000/+525423.000-0031839.500
53,LWN4,+525423.000-0031839.500/+525333.000-0025015.000/+525046.000-0024529.000
54,LWC1,+525046.000-0024529.000/+524149.000-0023750.000
55,LWC2a,+524149.000-0023750.000/+523253.000-0023011.000/+521702.000-0021251.000
56,LWC2b,+521628.100-0021218.500/+521702.000-0021251.000
57,LWC3a,+521628.100-0021218.500/+520946.000-0020500.000
58,LWC3b,+520946.000-0020500.000/+520916.000-0020428.000
59,LWC4a,+520916.000-0020428.000/+515942.000-0015411.000
60,LWC4b,+515942.000-0015411.000/+515336.000-0014741.000
61,LWC4c,+515336.000-0014741.000/+514751.000-0014136.000
62,LWC4d,+514751.000-0014136.000/+514211.000-0013537.000/+514055.000-0013458.000
63,SB1,+493323.000-0065617.000/+485542.000-0073430.000
64,EIW1,+493459.000-0080000.000/+485000.000-0080000.000
65,BAN1,+512528.000-0071351.000/+514215.000-0064236.000
66,BAN2,+512528.000-0071351.000/+512400.000-0065305.000/+514034.000-0060027.000
67,BAN3,+520049.000-0060720.000/+514034.000-0060027.000
68,BAN4,+514215.000-0064236.000/+520049.000-0060720.000
69,BAN5,+514215.000-0064236.000/+514034.000-0060027.000
70,LN1,+523703.850+0025357.300/+522819.000+0024644.000
71,LN2,+531813.000+0024400.000/+532000.000+0023000.000/+524010.000+0023000.000/+523703.850+0025357.300
72,LN3,+523703.850+0025357.300/+531029.000+0032158.000
73,LN4,+540145.000+0000602.000/+533539.000+0002756.000/+533230.000+0005045.000/+532856.001+0005709.000/+525324.000+0004619.000/+530426.400-0004425.000
74,LN5,+540147.000-0013515.000/+530642.000-0004627.000
75,LN6,+534125.000-0032734.000/+533947.000-0025224.000/+533144.000-0021700.000/+531225.000-0015844.000
76,LN7,+534817.000-0053000.000/+531148.000-0053000.000
77,LNC1,+525046.000-0024529.000/+531029.000-0020557.000
78,LNC2,+531029.000-0020557.000/+531225.000-0015844.000
79,LNC3,+531225.000-0015844.000/+530031.000-0014737.000
