,sector,lines
0,LON AC North,SWLN1/SWLN2/SWLN3/SWLN4/SWLN5/SELN1/SELN2/SELN3/SELN4/SELN5/LN1/LN2/LN3/LN4/LN7/LNE1/LNE2/LNC1/LNC2/LNC3/LNC4/LNC5/LNC6/LWN1/LWN2/LWN3/LWN4
1,LON AC West,LWS3/LTC22c/LWN1/LWN2/LWN3/LWN4/LWC1/LWC2/LWC3/LWC4/LTC22c/LTC21a/LTC27/LTC22b/LWS2/LWS1/LW7/LW6/LW15/LW16/LW17/LW1/EIW1/LW2/LW3/BAN1/BAN2/BAN3/BAN4/LW14/LW13/L18 Delegated
2,LON Clacton,LNE1/LNE2/LEAA1/IBNOS2/IBNOS3/IBNOS4/IBNOS5/IBNOS6/IBNOS8/SAS2/SAS3/LEBU1/LED2/LED3/LED4/LCE1/LTC3b/LE2/LTC33a/LTC33b/LTC34b/LC11b/LED5a/LED5b
3,LON Daventry,LCM10/LCM1/LCM2/LCM3/LCM4/LCM5/LCM6/LCM7/LCM8/LCM9/LTC1/LC12/LC11a/LC11b/LC11c/LC22/LC3/LC10/LC7a/LC7b/LC9
4,LON Dover,LC12/LC13a/LC13b/LC11a/LC22/LC3/LC10/LC7a/LSD2/LTC5/LESD1/LED1-4/LDBU1/LDFF1-2/LDM1/LDM2/LDM3/LDM4/LDM5/LDM7/LDM8/LDM9a/LDM9b/LDM10/LDM16/LSD2/LTC11/LTC12/LTC15/LTC18/LSD1/LTC28/LC11c/LED5a/LED5b
5,LON Worthing,LCS1/LCS2/LCS3/LCSD1/LCSD2/LTC5/LESD1/LTC28/LTC13/LTC10/LSFF/LSRR/LWS1/LWS2/LTC27/LTC21a/LTC7/LTC16/LSD1/LTC18/LTC15/LTC22a/LTC21b/LTC20/LTC19b/LTC19a/LTC24/LTC14/LC10/LSD2/LWS3/LWC4d/LTC22c/LTC1a/LWC4c/LC8/LC7b
6,LTC East,LNE1/LEAA1/IBNOS1/IBNOS3/IBNOS7/IBNOS8/SAS1/SAS2/SAS3/LEBU1/LED4-1/LESD1/LTC5/LTC2/LCE1/LCE2/LTC3a/LTC3b/LTC38/LTC4/LTC8/LTC33a/LTC33b/LTC34b
7,LTC North East,LTC2/LTC3a/LTC38 /LTC39/LTC41/LTC8/LTC4/LED1/LTC9/LTC17/LTC6b/LTC6a/LTC7/LTC5a/LTC5b
8,LTC North West,LTC1a/LTC1b/LTC1c/LTC2/LTC6a/LTC6b/LTC24/LTC23b/LTC23a/LCS2/LCS3/LCSD1
9,LTC South East,LTC16/LTC17/LTC18/LTC9/LED1/LED2/LED3/LED4/LDBU1/LDFF1/LDFF2/LTC12/LDM2/LDM3/LDM4/LTC10/LTC11/LDM1/LDM16/LTC13/LTC15/LTC28
10,LTC South West,LTC13/LTC14/LTC15/LTC18/LTC19a/LTC19b/LTC20/LTC21a/LTC21b/LTC22a/LTC22b/LTC22c/LTC23a/LTC23b/LTC24
