,name,boundary,floor,ceiling
0,EG D001 TREVOSE HEAD,+501918.00-0053042.00/+502400.00-0053900.00/+503200.00-0053400.00/+503930.00-0052400.00/+504300.00-0051230.00/+503830.00-0050430.00/+501918.00-0053042.00,0,1000
1,EG D003 PLYMOUTH,+501001.00-0034740.00/+500339.00-0033430.00/+494105.00-0034912.00/+493719.00-0040938.00/+501001.00-0034740.00,0,55000
2,EG D004 PLYMOUTH,+500339.00-0033430.00/+500103.00-0032910.00/+494653.00-0031655.00/+494105.00-0034912.00/+500339.00-0033430.00,0,55000
3,EG D005A ,+500007.00-0051354.00,0,8000
4,EG D005B ,+500208.00-0051722.00/+495818.00-0052242.00/+495124.00-0051200.00/+495629.00-0050728.00/+495809.00-0051024.00/+500007.00-0051354.00/+500208.00-0051722.00,0,8000
5,EG D006A ,+501244.00-0044659.00/+500726.00-0044228.00/+500000.00-0045430.00/+500924.00-0045430.00/+501244.00-0044659.00,0,22000
6,EG D006B ,+495907.00-0050506.00/+500500.00-0045948.00/+500924.00-0045430.00/+500000.00-0045430.00/+495646.00-0045634.00/+495907.00-0050506.00,0,8000
7,EG D006C ,+495907.00-0050506.00/+495124.00-0051200.00/+495124.00-0050000.00/+495646.00-0045634.00/+495907.00-0050506.00,0,8000
8,EG D007A ,+501801.00-0043643.00/+501820.00-0043152.00/+501857.00-0042738.00/+501550.00-0042458.00/+500922.00-0044407.00/+501202.00-0044623.00/+501801.00-0043643.00,0,22000
9,EG D007B ,+501550.00-0042458.00/+501342.00-0042309.00/+500726.00-0044228.00/+500922.00-0044407.00/+501550.00-0042458.00,0,22000
10,EG D007C ,+501733.00-0044334.00/+501801.00-0043643.00/+501202.00-0044623.00/+501244.00-0044659.00/+501414.00-0044441.00/+501647.00-0044447.00/+501733.00-0044334.00,0,2000
11,EG D008A ,+495654.00-0045629.00/+493715.00-0041003.00/+492745.00-0050000.00/+495124.00-0050000.00/+495654.00-0045629.00,0,22000
12,EG D008B ,+494740.00-0043430.00/+494438.00-0040446.00/+493719.00-0040938.00/+493715.00-0041003.00/+494740.00-0043430.00,0,55000
13,EG D008C ,+501140.00-0042931.00/+501904.00-0040633.00/+500623.00-0035008.00/+494438.00-0040446.00/+494740.00-0043430.00/+495654.00-0045629.00/+500000.00-0045430.00/+500726.00-0044228.00/+501140.00-0042931.00,0,55000
14,EG D009A ,+501904.00-0040633.00/+501001.00-0034740.00/+500623.00-0035008.00/+501904.00-0040633.00/+501140.00-0042931.00/+501904.00-0040633.00,0,55000
15,EG D009B ,+501342.00-0042309.00/+501951.00-0041015.00/+501904.00-0040633.00/+501735.00-0040325.00/+501904.00-0040633.00/+501342.00-0042309.00,0,22000
16,EG D011A ,+504226.00-0040146.00/+504311.00-0035854.00/+503937.00-0035613.00/+503725.00-0035712.00/+503744.00-0035801.00/+503729.00-0040101.00/+504019.00-0040341.00/+504226.00-0040146.00,0,10000
17,EG D011B ,+504019.00-0040341.00/+503729.00-0040101.00/+503726.00-0040136.00/+503550.00-0040444.00/+503747.00-0040558.00/+504019.00-0040341.00,0,4500
18,EG D011C ,+503726.00-0040136.00/+503729.00-0040101.00/+503744.00-0035801.00/+503725.00-0035712.00/+503426.00-0035832.00/+503402.00-0040336.00/+503550.00-0040444.00/+503726.00-0040136.00,0,10000
19,EG D012 LYME BAY NORTH,+504220.00-0024500.00/+503400.00-0024500.00/+503400.00-0030500.00/+503000.00-0031730.00/+503650.00-0031500.00/+504106.00-0030544.00/+504220.00-0024500.00,0,18000
20,EG D013 LYME BAY,+503400.00-0024500.00/+500200.00-0024500.00/+500200.00-0025800.00/+500800.00-0030430.00/+502500.00-0031730.00/+503000.00-0031730.00/+503400.00-0030500.00/+503400.00-0024500.00,0,60000
21,EG D014 PORTLAND,+503818.00-0023424.00/+503736.00-0023230.00/+503530.00-0022948.00/+503400.00-0023124.00/+503400.00-0023000.00/+502931.00-0023000.00/+503400.00-0024500.00/+503400.00-0024200.00/+503700.00-0024130.00/+503818.00-0023424.00,0,5000
22,EG D015 BOVINGTON,+504324.00-0021424.00,0,3600
23,EG D017 PORTLAND,+503400.00-0024500.00/+502931.00-0023000.00/+500200.00-0023000.00/+500200.00-0024500.00/+503400.00-0024500.00,0,22000
24,EG D021 PORTLAND,+503500.00-0022000.00/+503500.00-0021614.00/+503154.00-0021624.00/+503000.00-0021700.00/+502918.00-0021718.00/+502500.00-0021500.00/+502931.00-0023000.00/+503000.00-0023000.00/+503000.00-0022000.00/+503500.00-0022000.00,0,15000
25,EG D023 PORTLAND,+502931.00-0023000.00/+502500.00-0021500.00/+500200.00-0021500.00/+500200.00-0023000.00/+502931.00-0023000.00,0,22000
26,EG D026 LULWORTH,+504020.00-0020755.00/+503950.00-0020732.00/+503751.00-0020753.00/+503644.00-0020813.00/+503503.00-0020440.00/+503030.00-0020043.00/+502654.00-0020230.00/+502500.00-0020842.00/+502500.00-0021500.00/+502918.00-0021718.00/+503000.00-0021700.00/+503154.00-0021624.00/+503536.00-0021612.00/+503700.00-0021447.00/+503800.00-0021430.00/+503825.00-0021137.00/+504028.00-0021137.00/+504020.00-0020755.00,0,15000
27,EG D031 PORTLAND,+503626.00-0015635.00/+503000.00-0015635.00/+503000.00-0020058.00/+503030.00-0020043.00/+503412.00-0020356.00/+503435.00-0020320.00/+503626.00-0015635.00,0,15000
28,EG D036 PORTSMOUTH,+502927.00-0011208.00/+500000.00-0011126.00/+500000.00-0014301.00/+500620.00-0014207.00/+502927.00-0011208.00,0,19000
29,EG D037 PORTSMOUTH,+503700.00-0010211.00/+503700.00-0003938.00/+503000.00-0003213.00/+503000.00-0011124.00/+503700.00-0010211.00,0,55000
30,EG D038 PORTSMOUTH,+503000.00-0011124.00/+503000.00-0005000.00/+500000.00-0005000.00/+500000.00-0011126.00/+502927.00-0011208.00/+503000.00-0011124.00,0,55000
31,EG D039 PORTSMOUTH,+503000.00-0005000.00/+503000.00-0003213.00/+502948.00-0003200.00/+500000.00-0003200.00/+500000.00-0005000.00/+503000.00-0005000.00,0,55000
32,EG D040 PORTSMOUTH,+502948.00-0003200.00/+501347.00-0001511.00/+500000.00-0003155.00/+500000.00-0003200.00/+502948.00-0003200.00,0,22000
33,EG D044 LYDD RANGES,+505525.00+0005534.00/+505328.00+0005613.00/+505238.00+0005359.00/+505237.00+0005015.00/+505420.00+0004748.00/+505554.00+0005009.00/+505650.00+0005348.00/+505525.00+0005534.00,0,4000
34,EG D061 WOODBURY COMMON,+504049.00-0032051.00,0,1500
35,EG D064A ,+512016.00-0071115.00/+511616.00-0061643.00/+502838.00-0060046.00/+501752.00-0070521.00/+502621.00-0073603.00/+503808.00-0074914.00/+504705.00-0075207.00/+505745.00-0075205.00/+512016.00-0071115.00,0,660
36,EG D064B ,+511616.00-0061643.00/+511207.00-0052532.00/+510624.00-0052510.00/+503012.00-0054335.00/+502838.00-0060046.00/+511616.00-0061643.00,0,660
37,EG D064C ,+511207.00-0052532.00/+511028.00-0050621.00/+505443.00-0043352.00/+504712.00-0043327.00/+504423.00-0043914.00/+504328.00-0043921.00/+503012.00-0054335.00/+510624.00-0052510.00/+511207.00-0052532.00,0,660
38,EG D110 BRAUNTON BURROWS,+510602.00-0041529.00/+510606.00-0041203.00/+510500.00-0041200.00/+510458.00-0041315.00/+510516.00-0041344.00/+510514.00-0041527.00/+510602.00-0041529.00,0,2000
39,EG D113A ,+513937.00-0051830.00/+513937.00-0050443.00/+513906.00-0050320.00/+513130.00-0050530.00/+512900.00-0050330.00/+512900.00-0045432.00/+512430.00-0050220.00/+514213.00-0045647.00/+513610.00-0052408.00/+513937.00-0051830.00,0,40000
40,EG D113B ,+513906.00-0050320.00/+513230.00-0050400.00/+513618.00-0045520.00/+513618.00-0045332.00/+513230.00-0044830.00/+512900.00-0045432.00/+512900.00-0050330.00/+513130.00-0050530.00/+513906.00-0050320.00,0,45000
41,EG D115A ,+513815.00-0045012.00/+513815.00-0044700.00/+513815.00-0044348.00/+513815.00-0045012.00,0,27000
42,EG D115B ,+513815.00-0045012.00/+513815.00-0044348.00/+513345.00-0043019.00/+513815.00-0044700.00/+513208.00-0050218.00/+513815.00-0045012.00,0,50000
